profile_id,answer_id,gender,age,employment,income,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
0,0,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,3,2,0,2,1,"0,3",1,3,2,3,4,4,3,3,"1,6",1
0,1,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,2,2,0,2,0,"0,3",1,3,2,2,4,3,3,2,"1,6",1
0,2,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,2,2,0,1,0,"0,3",1,3,2,3,4,2,3,2,"1,6",1
0,3,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,3,2,0,2,1,"0,1,3",1,3,2,2,4,3,4,3,"1,6",1
0,4,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,1,2,0,2,0,"0,1,3",1,3,2,2,3,2,3,2,"1,6",1
1,0,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,3,2,0,2,1,"0,3",1,3,2,3,4,4,3,3,"1,6",1
1,1,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,2,2,0,2,0,"0,3",1,3,2,2,4,3,3,2,"1,6",1
1,2,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,2,2,0,2,1,"0,1,3",1,3,2,3,4,2,3,2,"1,6",1
1,3,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,3,2,0,2,1,"0,3",1,3,2,2,3,4,3,3,"1,6",1
1,4,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,2,2,0,2,0,"0,3,4",1,3,2,2,4,3,3,3,"1,6",1
2,0,Male,From 20 to 29,Employed,"Less than RM25,000",0,1,2,0,3,2,0,2,1,"0,1",1,3,2,3,4,3,3,3,"1,6",1
2,1,Male,From 20 to 29,Employed,"Less than RM25,000",0,1,2,0,2,2,0,2,1,"0,3",1,3,2,2,4,3,3,2,"1,6",1
2,2,Male,From 20 to 29,Employed,"Less than RM25,000",0,1,2,0,2,2,0,2,1,"0,1,3",1,3,2,2,4,2,3,3,"1,6",1
2,3,Male,From 20 to 29,Employed,"Less than RM25,000",0,1,2,0,3,2,0,2,1,"0,1,3",1,3,2,3,3,2,3,2,"1,6",1
2,4,Male,From 20 to 29,Employed,"Less than RM25,000",0,1,2,0,2,2,0,2,1,"0,1,3",1,3,2,2,3,3,2,3,"1,6",1
3,0,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,3,2,0,2,1,"0,3",1,3,2,3,4,4,3,3,"1,6",0
3,1,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,2,2,0,2,0,"0,3",1,3,2,2,4,3,3,2,"1,6",1
3,2,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,2,2,0,2,1,"0,1,3",1,3,2,3,4,2,3,2,"1,6",0
3,3,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,3,2,0,1,0,"0,1,3",1,3,2,2,4,4,2,3,"1,6",1
3,4,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,1,2,0,2,1,"0,1,3",1,3,2,3,3,3,4,2,"1,6",1
4,0,Male,From 20 to 29,Student,"Less than RM25,000",0,1,0,0,3,2,0,2,1,"0,1",1,3,2,3,4,4,3,3,"1,6",1
4,1,Male,From 20 to 29,Student,"Less than RM25,000",0,1,0,0,2,2,0,2,1,"0,3",1,3,2,2,4,3,3,2,"1,6",0
4,2,Male,From 20 to 29,Student,"Less than RM25,000",0,1,0,0,2,2,0,2,1,"0,1,3",1,3,2,3,4,2,3,2,"1,6",1
4,3,Male,From 20 to 29,Student,"Less than RM25,000",0,1,0,0,3,2,0,2,1,"0,1,3",1,3,2,2,3,4,3,3,"1,6",1
4,4,Male,From 20 to 29,Student,"Less than RM25,000",0,1,0,0,1,2,0,2,1,"0,1,3",1,3,2,3,4,3,2,3,"1,6",1
5,0,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,3,2,0,2,1,"0,3",1,3,2,3,4,4,3,3,"1,6",0
5,1,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,2,2,0,2,0,"0,3",1,3,2,2,4,3,3,2,"1,6",1
5,2,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,2,2,0,1,0,"0,3",1,3,2,3,3,2,3,2,"1,6",1
5,3,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,3,2,0,2,1,"0,1,3",1,3,2,2,3,3,4,3,"1,6",0
5,4,Female,From 20 to 29,Student,"Less than RM25,000",1,1,0,0,1,2,0,2,1,"0,3",1,3,2,3,4,3,3,2,"1,6",1
